lux,,416550043.21
,,Luminance(cd/m2),Radinance(W/sr*m2),
0,,,74073.80,
1,,1328186.14372623,8234.01208767,
2,,1152732.11706816,7146.29514140,
3,,1148654.06992504,7121.01352735,
4,,993286.72259972,6157.82277133,
5,,1136100.63835377,7043.18926470,
6,,1248309.11443078,7738.81913008,
7,,1985018.56271819,12306.00613994,
8,,1823298.50281097,11303.43211491,
9,,1588696.82471222,9849.03277309,
10,,1616845.09436755,10023.53631966,
11,,1553922.65044929,9633.45231957,
12,,1618992.96674923,10036.85192850,
13,,1434616.33529312,8893.81981718,
14,,1311128.49559036,8128.26419864,
15,,1148346.50481881,7119.10679552,
16,,1182899.94591800,7333.31882673,
17,,1171962.19959702,7265.51091002,
18,,1669971.56396359,10352.89075157,
19,,1856618.84539794,11509.99962424,
20,,1770714.50215060,10977.44068735,
21,,1619764.43422830,10041.63459588,
22,,1712897.39092435,10619.00689781,
23,,870095.28214517,5394.10466255,
24,,1358635.21434266,8422.77931484,
25,,1373071.52417512,8512.27637082,
26,,537643.13565806,3333.08708179,
27,,989028.56147287,6131.42455121,
28,,1362780.63284633,8448.47859368,
29,,1341163.60703090,8314.46511018,
30,,1313698.72388072,8144.19817816,
31,,1970472.77148111,12215.83036041,
32,,1741976.53085794,10799.28132007,
33,,1749799.66343833,10847.78037161,
34,,1996850.98311968,12379.36053613,
35,,2059110.17035203,12765.33271531,
36,,2171547.31123839,13462.38017476,
37,,2312597.35104676,14336.81162266,
38,,2243553.12600575,13908.77599960,
39,,2307115.54254246,14302.82747240,
40,,2349862.63642145,14567.83557339,
41,,2348111.29833228,14556.97825564,
42,,2386579.50986186,14795.45967650,
43,,2472999.68760047,15331.21649905,
44,,2443067.74948675,15145.65520450,
45,,2741229.93998204,16994.09421451,
46,,3022555.96730712,18738.15841855,
47,,3057388.09723700,18954.09816483,
48,,2908555.33044811,18031.41815753,
49,,3265198.98634232,20242.40958181,
50,,3179810.32943404,19713.04761214,
51,,3143310.09599964,19486.76655604,
52,,2916412.17115301,18080.12618061,
53,,1844623.49536572,11435.63515535,
54,,2163615.30905229,13413.20619249,
55,,1537560.23645525,9532.01449382,
56,,1360984.85890782,8437.34579849,
57,,1568172.59355404,9721.79400596,
58,,1720338.07823240,10665.13500232,
59,,1691482.86359713,10486.24879181,
60,,1785698.02722245,11070.33017212,
61,,2169524.57110152,13449.84031593,
62,,2192131.34171367,13589.98966424,
63,,2332324.62703638,14459.10971297,
64,,2643770.29068233,16389.89883559,
65,,2751247.35740222,17056.19660620,
66,,2691999.93024602,16688.89565695,
67,,2770620.00783608,17176.29621618,
68,,3246444.45140060,20126.14194257,
69,,2927986.33629897,18151.87953850,
70,,2892506.03180045,17931.92147201,
71,,3013807.72922256,18683.92422971,
72,,3140792.86664115,19471.16114029,
73,,3402839.68829494,21095.70503967,
74,,3751615.41320066,23257.91968731,
75,,4123683.31401443,25564.53281319,
76,,4530100.47996694,28084.09219340,
77,,4465507.34917942,27683.65086807,
78,,4527842.64280087,28070.09486434,
79,,3591220.00901729,22263.55778775,
80,,2905120.23691668,18010.12249668,
81,,2553188.69782432,15828.34356411,
82,,3061729.11129646,18981.01002685,
83,,2637334.22271745,16349.99880977,
84,,2489934.93700036,15436.20558430,
85,,2728608.56401419,16915.84873456,
86,,2873903.53289536,17816.59637125,
87,,2519442.17017775,15619.13394551,
88,,2300402.56849999,14261.21078360,
89,,2240395.91479610,13889.20305391,
90,,2259384.86755004,14006.92395263,
91,,2437985.60385090,15114.14874074,
92,,2267187.78787157,14055.29769945,
93,,2161576.15446781,13400.56457326,
94,,2940332.29275966,18228.41757137,
95,,3620125.50488165,22442.75571378,
96,,3953793.20350394,24511.30903871,
97,,3909735.23126261,24238.17422420,
98,,3877253.78668603,24036.80741389,
99,,3954914.11477979,24518.25806241,
100,,4245399.26654951,26319.10372117,
101,,4310738.30756532,26724.16927321,
102,,4190585.29395350,25979.28771341,
103,,3716340.10819069,23039.23250312,
104,,3539650.23875456,21943.85402204,
105,,3499442.35624845,21694.58761301,
106,,3367411.79735120,20876.07190794,
107,,3291803.61795992,20407.34343492,
108,,3061344.30967118,18978.62447174,
109,,3755554.18338103,23282.33786200,
110,,4099045.45118654,25411.79182783,
111,,3565649.86484263,22105.03717886,
112,,3343871.10502489,20730.13276674,
113,,2907682.17966728,18026.00511048,
114,,2236297.09304193,13863.79264888,
115,,2253348.61369094,13969.50255091,
116,,3104886.65150827,19248.56266580,
117,,4269635.77504279,26469.35653388,
118,,4402000.20608561,27289.94205974,
119,,3958099.47838713,24538.00553724,
120,,4166471.66267315,25829.79667077,
121,,4482039.34670155,27786.14001695,
122,,4446028.33463780,27562.89186004,
123,,3761373.07542080,23318.41174187,
124,,4045420.76086182,25079.34870575,
125,,3962049.54053200,24562.49371580,
126,,3600453.40566783,22320.79968866,
127,,4199600.98506677,26035.17996161,
128,,4098923.10171908,25411.03332948,
129,,3323902.56061319,20606.33894700,
130,,3080042.91851733,19094.54540044,
131,,3448164.01456378,21376.69054168,
132,,3501411.42652994,21706.79474872,
133,,4608273.77055043,28568.72292279,
134,,6814629.58416792,42246.89636621,
135,,5153283.99857647,31947.48186157,
136,,5096196.59492001,31593.57185130,
137,,5351892.94384348,33178.74636750,
138,,4809864.63685210,29818.47367327,
139,,4455100.40861365,27619.13365049,
140,,3933513.73988389,24385.58769357,
141,,4524406.06789160,28048.79001977,
142,,5350807.10308910,33172.01476144,
143,,6618825.73526538,41033.02189064,
144,,5153244.11632486,31947.23461389,
145,,4907363.51663667,30422.91225928,
